Question,Answer
How to do closing and opening for Only Accounting from 2024 to 2025?,Make sure you are in year 2024; Go to Operations > Periodic Operation > Closing End of Year > Just press Start Closing. These options come pre-selected you don't need to change anything.; Confirm by clicking Yes; Wait for the operation to end...Click Ok; Go to the newly created company for the year 2025.; Go operations > Currency > Currency Rates Auto > press save.; Confirm by clicking Yes
How to do closing and opening on POS from 2024 to 2025?,"Make sure you are in year 2024; Go to Operations > Accounting > Periodic Operation > Closing End of Year > In the advanced section, mark the checkboxes for 'faster database creation' and 'skip items, accounts & balances'. Next, click Start Closing button.If the checkboxes for 'faster database creation' and 'skip items, accounts & balances,' are not available, please reach out to support for assistance in obtaining an updated version of Brains.; Confirm by clicking Yes; Wait for the operation to end...Click Ok; Go to the newly created company for the year 2025.; Go operations > Currency > Currency Rates Auto > press save.; Confirm by clicking Yes"
How to do closing and opening on Server from 2024 to 2025?,Make sure you are in year 2024; Go to Operations > Accounting > Periodic Operation > Closing End of Year > Just press Start Closing. These options come pre-selected you don't need to change anything.; Confirm by clicking Yes; Wait for the operation to end...Click Ok; Go to the newly created company for the year 2025.; Go operations > Currency > Currency Rates Auto > press save.; Confirm by clicking Yes
How to change rates to more than 5 digits?,"If you're unable to adjust rates exceeding 99,999, it may be necessary to upgrade your software version. Kindly get in touch with Brains support for assistance with the update."
What steps can be taken to prevent the system from selling when the quantity is zero or negative?,"In order to do this you have to tick Check aval. Qty in cash sale and Untick Allow Passing Unavailable Qty in 3 places (Preference, Type and Warehouse).First go to System > Preference > Select Operartions Tab > Stock > tick Check aval. Qty in cash sale > Untick Allow Passing Unavailable Qty.; Next go to Data Entry > Types > Operations Type > Data Entry Tab Untick Allow Passing Unavailable Qty.; Next go to Data Entry > Item > Warehouse > Data Entry Tab Untick Allow Passing Unavailable Qty.; Please ensure that the Lite POS option is unchecked in the system's Preferences under the POS tab."
How to export / import Journal Voucher (JV)?,"Navigate to System > Synchronize > Export and search for the JV number you wish to export in the Number field. i.e: JV000014.At the top right under Timer enter company name followed by year with a space in between i.e: ab 23.Tick Accounting and Export.; Now navigate to system > Synchronize > import > Select the Browse button and enter the file path for the exported JV, then click on the Import button."
How to import journal voucher from another year/company?,"In order to do this you have to create new voucher > Additional info. > click on import from another company button; Choose the year or company first, and then look for the operation number that you wish to import.; Choose no in the new pop-up window for the invert credit and debit.Input the Type Code into the designated field."
"How to find duplicate descriptions across multiple item codes, combining their quantities, and eliminating any unnecessary codes?","You can use the following query:SELECT description, COUNT(*) as count FROM sfitem GROUP BY description HAVING COUNT(*) > 1;; Go to Operations > System Maintenance > Change item code.Input the item that you want to remove in the From field and the item that you want to keep in the To field. Than Press Save; This operation will merge qty and will delete unnecessary item.; If the item has an initial quantity, it will not be deleted, but rather marked as inactive, thereby fulfilling the condition for its non-deletion."
How to check item history?,Go to system > Password > search tab > search for Operation history.Modify than tick Operation history and save.; Now you will be able to see view history button in data entry > item > additional info. tab.
What is the process for verifying the detailed invoice total inclusive and exclusive of VAT in the daily journal?,Go to Reports > Daily Journal.; Than go to Stock tab and tick With Prices and All Items.; Than go to Accounting tab and tick Summary.; Click Preview.
How can I change the VAT rate to Sayrafa and set a specific VAT rate different from the daily rate?,"Ensure that you have installed our most recent version +V4.9.; Go to operations > Currency > Currency Rates > Press Locate Select the following date: 03/01/2000 and Press Modify.Enter new VAT rate and Press Save.; If the date 03/01/2000 is not available, click New to create it.; After creating the date, enter the new VAT rate and press Save.; To ensure it works, you need to activate the 'Account No. VAT Rate' option in the 'Operation Type' within the 'Account No.' tab. Please make sure to enable this option.; To verify if this will function, attempt to generate a new invoice, navigate to the accounting tab, and examine the VAT rate."
What is the process for adding or removing a POS supervisor password when deleting an item?,"Go to system > Password > Features tab > than Stock tab search for POS Supervisor.; Selecting this option allows you to delete items without the password, and not selecting this option requires the password to be entered."
What is the process for conducting inventory?,"Go to Operations > Periodic Operation > Inventory.Please input any numerical value in the designated number field.Select the Warehouse for which you wish to conduct inventory.Tick All Items.; Upon clicking the preview button, you will initially see all items listed in the window with a default quantity of zero. To update the actual quantity of items available in the specified warehouse, you may either add a new row by pressing Add Row button and input the new quantity or use the Get template button to open an Excel file and enter the updated quantities there.; Once you have entered the updated quantities, you will need to check the update movement checkbox and select an operation type in the designated field. Finally, you can save the changes by clicking the save button.; You can now navigate to Operations > movement section to view the updates you have made to the quantity."
What is the process to display the VAT amount separately in Lebanese Pound (LBP) and US Dollar ($) on the statements report?,"Go to Operation Type > Account No. Tab > Tick Account No Vat Rate checkbox.; To apply the new settings, simply click on modify to the invoice and then save.; Proceed to the reports section, then select statement of accounts to view the VAT amount separately displayed in Lebanese Pound (LBP) and US Dollar ($) on the statements report."
How to Fix Printer Spooler Errors in Windows?,"If you come across the Printer Spooler Problem error message, you can resolve it by restarting the print spooler using the following steps:; Either press the Windows key on your keyboard or click/tap inside the Search box and type the word services. Then, press Enter when you see the Services search result, or click or tap on it.; Go down the list of services arranged alphabetically and select Print Spooler. Click Restart."
How to fix this small difference in trial balance?,"In the event of a minor discrepancy in the trial balance, the following steps should be taken:; To address the small difference in the trial balance, access the opening journal voucher, select the Modify option, press the F5 key on your keyboard, and then Save the changes.; Now, proceed to verify the trial balance, ensuring that the discrepancy has been resolved."
How can I resolve the issue of charges code not being displayed in purchases?,"To resolve the issue of a charges code not appearing in purchases, you can take the following steps:; Navigate to the data entry section > Accounting > charges. Select the charges code that is missing and click on modify Make sure to check the box for Purchases and then save the changes.; After completing the aforementioned steps, the charges code should now be visible in the purchases section."
How can I prevent an item with an inactive code from being processed in the POS system?,"If you encounter a situation where an inactive item is being processed in the POS system, despite its inactive status, you should follow these steps:; Let me provide you with an example of an inactive code that is being processed during cash sales.; To prevent the processing of this inactive code, navigate to the Types section and access the Preferences tab. Proceed to modify the settings and ensure that the option Without inactive item is selected or checked.; With the modification in place, inactive items will no longer be processed and will not be added to this cash sale."
How to print each individual journal voucher on a separate page when selecting multiple vouchers to print?,"Open the report file using Visual Studio 2013, and right-click on (uid) under row groups to access and modify the group properties.; Change page break options by ticking between each instance of a group."
How to do difference of exchange?,"Go to Operations > Accounting > Periodic Operation > Difference Of Exchange.; Fill the type, details and date accordinglyIf you have specific cost center, branch or project, enable DetailedThen save.; After that, enable USDThen redo the steps again."
What is the method for generating a report without including any company information?,"To generate a report without including any company information, you need to do the following.; Go to Operation Type > Locate and tick Out Of Budget checkbox.; Your report will now be generated wihtout company information."
What is the process for transferring stock to a different warehouse?,"Go to operations > Transfer > Transfer.; When initiating a transfer and wishing to move an item from Warehouse 1 to Warehouse 2, you are required to input 01 in the W.H. (Warehouse) field and 02 in the To field.; If you wish to import a Purchase Order, for instance, you have the option to utilize the import function.; Within the row, the W.H. fields function in a way that if you enter Warehouse 03 for an item, the stock of that item will be transferred from Warehouse 03 to Warehouse 02.; By clicking on Get Template in the additional info tab, you have the option to utilize our Excel template to import data into Brains.; After that, click on Import Excel.; After importing all the items and quantities from Excel, if you want to fetch the unit price from the system, you should select the first available empty option in the dropdown menu following the number field. Alternatively, you can choose Purchase Cost from the dropdown menu to retrieve the unit price equal to the purchase cost.; click yes the change all UnitPrice."
How to apply an automatic discount to every invoice for this particular client?,"To create a new category, go to Data Entry > Sales Category, then enter a description and percentage in the designated fields, Than click Save.; Next, navigate to Data Entry > Customer and find the customer to whom you want to apply the automatic discount. Click on Modify and add the recently created sales category in the designated field. Finally, click Save.; Ensure that you Check Aut.Disc. From Customer in System > Preference then click on save."
How to update the sale price of an item using the import feature from Excel?,"Go to Operations > System Maintenance > Import Items from Excel.; By clicking on the Get Template button and selecting the Filled Template option, an Excel sheet will open with all the items filled in Brains.; To modify the sale price of specific items, open the Excel sheet and edit the corresponding cells. Once you have made the necessary changes, save the Excel sheet. Afterward, in Brains, go to Operations > System Maintenance > Import Items from Excel. Click on Browse to locate the modified Excel file and then click on Import ensuring that the Ignore Empty Fields option is checked."
How to create new customer on brains?,"To add a new customer on brains, navigate to Data Entry tab, select Customer, and click New Button. Then proceed to input the required customer details into the appropriate fields provided, Than Click Save Button."
How to create new Item on brains?,"To add a new Item on brains, navigate to Data Entry tab > Item > select Item.; Click New Button. Then proceed to input the required Item details into the appropriate fields provided, Than Click Save Button."
How to create a Purchases on brains?,"Navigate to Operations > Purchases To create a new Purchases on brains.; Click on the New button.Enter the relevant details such as Type, supplier, currency, and date in the respective fields.Add the item, quantity, and price, starting from the first row.Finally, click on Save to complete the purchase entry."
How to view item details by supplier item number?,"To view item details by supplier item number, navigate to Reports tab > select Item.; Enter the supplier item number in the provided field.Click the View button at the bottom left. This will show you all the important information about the items, like how many are in stock, where is their stock coming from, how much they cost, how much they sell for, and other details about the item itself."
How to enable the modification of voucher amounts?,"To enable voucher amount modification, access system preferences, go to the operations tab > accounting, tick the Modify Voucher Amount checkbox, and Save."
What are the steps to activate the Edit Voucher button for purchases?,"In order to activate the Edit voucher button within the accounting tab for purchases, the following actions must be taken:; Navigate to the System menu, select Preferences and locate the option titled Modify exported vouchers Enable this option by checking the corresponding box.; Next, proceed to the System menu and access the Password section. From there, enable the Modify option for the specific user in question.; Alternatively, if you require more detailed user access, you can select the option for Detailed User Access Once selected, you can proceed to the next step.; Navigate to the Operations Access Rights tab, then to Accounting and check the M checkbox to grant modify access to the journal voucher."
How to obtain a report featuring the top 10 suppliers/customers in Brains?,"Navigate to the Reports section and access the Daily Journal Then, proceed to the Stock tab and mark the checkboxes for VAT and Payables. Finally, click on the Preview button to generate a report displaying the top 10 suppliers.; For accessing the list of the top 10 customers, you need to follow similar steps. Begin by going to the Reports section and selecting Daily Journal Then, choose the Stock tab and check the checkboxes for both VAT and Receivables. Once done, click on the Preview button."
How to do Closing VAT for each quarter on brains?,"To close the VAT for each quarter using the brains system, follow these steps:1. Navigate to Operations > Accounting > Periodic Operation > Closing VAT.2. Enter the type in the designated field.3. For the first quarter, input 31/03/2023 in the date field and specify First quarter in the details field.4. In the Account No - From and Account No - To fields, enter all accounts from the starting account to the last account.5. In the Account No VAT field, enter the account number for which you want to close the VAT.6. Finally, click the save button.; For the Second quarter, input 30/06/2023 in the date field and specify Second quarter in the details field.; For the Third quarter, input 30/09/2023 in the date field and specify Third quarter in the details field.; For the Fourth quarter, input 31/12/2023 in the date field and specify Fourth quarter in the details field."
How to add two distinct sale prices for two separate customers? (Method 1),"To begin, create a Type Of Sell by following these steps: Go to Data Entry > Item > Type Of Sell. Click the New button and provide the required Description and Currency rate for this type of sell in the designated field. Lastly, click the Save button.; Next, proceed to Data Entry > Item > Item and Locate the item for which you wish to assign two different sale prices to cater to individual customers. Then, access the 'Type of Sell.' tab.; Now, click on the 'Modify' button, and then click Add Row button. There, you can select the first customer by pressing F2 or manually inputting the required information, including the corresponding sale price for that customer. Than click save.; Now, for the second customer, you should repeat the same steps, but this time, make sure to adjust the sale price and to select the second customer accordingly. Than click save.; Now, you must create a new invoice to verify that each customer has a unique sale price assigned to them.; Do the same steps for the second customer."
How to add two distinct sale prices for two separate customers? (Method 2),"To begin, create 'two' Type Of Sell by following these steps: Go to Data Entry > Item > Type Of Sell. Click the New button and provide the required Description and Currency rate for each type of sell in the designated field. Lastly, click the Save button.; Next, proceed to Data Entry > Item > Item and Locate the item for which you wish to assign two different sale prices. Then, access the Type of Sell. tab.; Click the Modify button first, followed by clicking the Add Row button. This will show you all available 'type of sell'. Here you can modify each row containing a unique 'type of sell' with a specific 'sales price'. Once done, proceed to click the save button.; Navigate to data entry > customer. Locate the specific customer for whom you wish to incorporate a 'type of sell' along with a designated sales price. Click modify button and input the appropriate type of sell code into the designated field.; Subsequently, upon generating a new invoice and including the customer you recently made modifications to, the updated 'type of sell' code will become visible within its dedicated field. This signifies the implementation of a distinct sales price tailored to that particular customer."
"How to remove duplicate descriptions across multiple Customer / Supplier / Auxiliary / Contacts, and eliminating any unnecessary codes?",Go to Operations > Accounting > System Maintenance > Change code.Input the Customer / Supplier / Auxiliary / Contacts that you want to remove in the From field and the Customer / Supplier / Auxiliary / Contacts that you want to keep in the To field. Make sure to Tick Fix Accounting Than Press Save
How to recover transactions that were accidentally deleted?,"Navigate to System > Recover Transaction. Then, choose the 'Operation Type' and 'Operation Number' associated with the accidentally deleted transactions, and finally, click the Recover button."
How to create an offer that includes free items in an invoice when a customer buys the offer?,"Go to 'Data Entry' > 'Item' > 'Item' > Locate the item you wish to make an offer for, and then select the 'Free' tab.; Click on 'Modify,' followed by the 'Add Row' button. For instance, we can configure an offer where a customer is entitled to receive 2 free items of the same kind upon purchasing 8 quantities of this item, or to receive 1 free item of the same kind upon purchasing 4 quantities of this item.; Let's test this offer by generating a new invoice. Include this item with a quantity of 8, and you'll receive a popup notification stating 'available free quantity, add now?' Simply click 'yes' to include the complimentary items.; As demonstrated, you can observe that 2 free items have been appended as a new entry in this invoice. To complete and save the invoice, click on the 'Save' button.; Note: To control the display of this popup notification, you have the option to activate or deactivate it. Begin by clicking on the invoice type, which will open the operation type window. From there, navigate to the preferences tab, click on 'Modify,' and mark the checkbox for 'Automatic free item.' Afterward, confirm your changes by clicking on 'Save.'"
How can I generate a report indicating whether there are items priced below their cost?,"Go to 'Report' > 'Items, Prices & Qtys' > go to the 'Additional Info' tab and tick Below Cost."
How can I perform the renumbering process for a journal voucher?,"Go to 'Operations' > 'Accounting' > 'System Maintenance' > 'Sort Transaction'.; Choose Jounral Voucher from the operation's dropdown menu, input your journal voucher type in the specified field, than Click Save Button."
How to set an item as inactive?,"To set an item as inactive, navigate to the Cost tab, click on Modify, check the Inactive box, and then save your changes."
How to prevent a specific user from changing the sale price?,Navigate to System > Password > and Locate the user for whom you wish to revoke access to change the sale price. Access the Search tab and enter No change Sale Price. Click modify and Check the corresponding box for this option.; Than access the Search tab and enter POS Supervisor and Un-Check the corresponding box for this option than click Save.
How to remove an item from the POS grid view?,"To eliminate an item from the POS grid view, please follow these steps:; Navigate to Data Entry > Item > Item. Locate the item you want to remove. Access the Additional Info tab, Click on Modify, and adjust the P.O.S Position to -1. Finally, click Save."
How to enable / disable the price checker feature in the POS?,"To activate or deactivate the price check feature in POS, you should follow these steps:; Go to System > Preferences and look for the Without Price Checker option. Enabling this option will disable price checking in POS, while unchecking it will enable price checking in POS."
How can I resolve the connection error that prevents connecting to the Brains server?,"If you encounter this problem, consider attempting the following steps:; Find the Services application on your computer, then search for SQL Server (MSSQLSERVER), and click on Start to activate the service."
How can I make the invoice refresh every 50 lines instead of refreshing each line individually?,"If you encounter system slowdown while generating an invoice with over 300 lines, consider adjusting the Max Number of Lines to Refresh setting from 0 to 50 under System > Preferences > Operations > Stock, than click Save button."
How to change the length of the item code?,"To increase / decrease the length of the item code, you should follow these steps.; Navigate to System > Preferences, choose the Item tab, adjust the Item Code length to your preference, and then click Save."
How to change an item to display as U instead of C when creating an invoice?,"To achieve this, simply click on Add Row for the item you wish to display as U on the invoice. In the barcode field, append the same code with the letter U at the end. Ensure that the B/C/U field is configured to U. Than click Save.; Therefore, when adding the item to the invoice, utilize the item code you've generated. For instance, item code '123457' will appear as C, whereas '1234567U' will be displayed as U."
How do I adjust an invoice to place it on account?,"Modify the invoice, then navigate to the Additional info tab and select the On Account checkbox than click Save."
How to do Closing Profit and Loss?,"Go to Operations > Accounting > Periodic Operation > Closing Profit & Loss; Fill the type (i.e: PL), details (i.e: Profit and Loss) and date End of year (i.e: 31/12/202Y) accordingly enable Detailed Then save."
